date, value
2012/2/3,1759.5
2012/2/6,1717
2012/2/7,1720
2012/2/8,1743
2012/2/9,1733
2012/2/10,1715.5
2012/2/13,1727
2012/2/14,1721
2012/2/15,1725.5
2012/2/16,1716
2012/2/17,1732
2012/2/20,1729.5
2012/2/21,1737
2012/2/22,1754.75
2012/2/23,1776.5
2012/2/24,1778.5
2012/2/27,1765
2012/2/28,1774.75
2012/2/29,1788
2012/3/1,1721
2012/3/2,1714.5
2012/3/5,1698
2012/3/6,1685.5
2012/3/7,1682.5
2012/3/8,1701.5
2012/3/9,1699.5
2012/3/12,1705.25
2012/3/13,1694.75
2012/3/14,1662
2012/3/15,1646.75
2012/3/16,1649
2012/3/19,1654
2012/3/20,1648.5
2012/3/21,1656
2012/3/22,1636
2012/3/23,1651
2012/3/26,1658
2012/3/27,1694
2012/3/28,1677
2012/3/29,1655.75
2012/3/30,1660.75
2012/4/2,1664
2012/4/3,1674.75
2012/4/4,1631.75
2012/4/5,1622.5
2012/4/10,1643.75
2012/4/11,1654
2012/4/12,1655.5
2012/4/13,1670.5
2012/4/16,1648.25
2012/4/17,1652
2012/4/18,1646.5
2012/4/19,1642
2012/4/20,1640
2012/4/23,1632
2012/4/24,1638.75
2012/4/25,1641.25
2012/4/26,1648.25
2012/4/27,1654
2012/4/30,1662.5
2012/5/1,1661.25
2012/5/2,1652.5
2012/5/3,1642.5
2012/5/4,1629.5
2012/5/8,1627
2012/5/9,1585.5
2012/5/10,1590
2012/5/11,1580.75
2012/5/14,1563
2012/5/15,1559
2012/5/16,1537.5
2012/5/17,1547
2012/5/18,1588
2012/5/21,1590.25
2012/5/22,1575.75
2012/5/23,1555
2012/5/24,1558.5
2012/5/25,1560.5
2012/5/28,1579
2012/5/29,1573.75
2012/5/30,1548.75
2012/5/31,1567.5
2012/6/1,1552.5
2012/6/6,1633.25
2012/6/7,1620.75
2012/6/8,1576
2012/6/11,1593
2012/6/12,1589.25
2012/6/13,1612.75
2012/6/14,1619
2012/6/15,1622.25
2012/6/18,1623.5
2012/6/19,1628.5
2012/6/20,1618.75
2012/6/21,1600
2012/6/22,1570.5
2012/6/25,1569
2012/6/26,1583.25
2012/6/27,1567.5
2012/6/28,1567.75
2012/6/29,1569.5
2012/7/2,1596.25
2012/7/3,1608.5
2012/7/4,1617
2012/7/5,1616.75
2012/7/6,1591.75
2012/7/9,1581
2012/7/10,1594.5
2012/7/11,1576.5
2012/7/12,1565.5
2012/7/13,1579
2012/7/16,1584
2012/7/17,1595
2012/7/18,1579.5
2012/7/19,1580
2012/7/20,1583
2012/7/23,1571.5
2012/7/24,1573
2012/7/25,1587.5
2012/7/26,1603
2012/7/27,1618.75
2012/7/30,1616.5
2012/7/31,1622.75
2012/8/1,1614.75
2012/8/2,1604.5
2012/8/3,1595
2012/8/6,1606.75
2012/8/7,1613
2012/8/8,1607
2012/8/9,1612.75
2012/8/10,1608.5
2012/8/13,1622.25
2012/8/14,1614.5
2012/8/15,1594.75
2012/8/16,1603.5
2012/8/17,1616.5
2012/8/20,1615.25
2012/8/21,1624
2012/8/22,1640.5
2012/8/23,1662.5
2012/8/24,1666.5
2012/8/28,1663.5
2012/8/29,1664.25
2012/8/30,1657
2012/8/31,1657.75
2012/9/3,1686
2012/9/4,1691.5
2012/9/5,1689.5
2012/9/6,1708.5
2012/9/7,1696
2012/9/10,1732.75
2012/9/11,1731
2012/9/12,1742.75
2012/9/13,1730.5
2012/9/14,1772.5
2012/9/17,1767.25
2012/9/18,1756.75
2012/9/19,1774.5
2012/9/20,1760
2012/9/21,1773.75
2012/9/24,1758.5
2012/9/25,1766.75
2012/9/26,1763.75
2012/9/27,1755.25
2012/9/28,1781
2012/10/1,1770.5
2012/10/2,1778.5
2012/10/3,1777.25
2012/10/4,1786.5
2012/10/5,1790
2012/10/8,1769
2012/10/9,1770.75
2012/10/10,1763
2012/10/11,1767.25
2012/10/12,1767
2012/10/15,1747.25
2012/10/16,1737.5
2012/10/17,1747.75
2012/10/18,1748
2012/10/19,1732.75
2012/10/22,1725
2012/10/23,1717
2012/10/24,1708.5
2012/10/25,1715
2012/10/26,1704
2012/10/29,1712
2012/10/30,1713.5
2012/10/31,1718
2012/11/1,1723.25
2012/11/2,1708.25
2012/11/5,1679
2012/11/6,1691.75
2012/11/7,1730.5
2012/11/8,1715
2012/11/9,1732.75
2012/11/12,1735.75
2012/11/13,1724.75
2012/11/14,1724.5
2012/11/15,1723.5
2012/11/16,1710
2012/11/19,1723.25
2012/11/20,1734
2012/11/21,1726.75
2012/11/22,1729.75
2012/11/23,1734.75
2012/11/26,1747.25
2012/11/27,1747.25
2012/11/28,1741
2012/11/29,1724.5
2012/11/30,1728.25
2012/12/3,1718
2012/12/4,1706.75
2012/12/5,1703
2012/12/6,1693
2012/12/7,1697
2012/12/10,1708.5
2012/12/11,1709.75
2012/12/12,1712.5
2012/12/13,1694.75
2012/12/14,1696.5
2012/12/17,1690
2012/12/18,1699.5
2012/12/19,1674.5
2012/12/20,1667
2012/12/21,1648.25
2012/12/24,1662.5
2012/12/27,1655.25
2012/12/28,1658.75
2012/12/31,1664
2013/1/2,1681.5
2013/1/3,1684.5
2013/1/4,1632.25
2013/1/7,1653.75
2013/1/8,1653.75
