Date,Price,Open,High,Low,Vol.,Change %
28-Jan-11,1885.53 ,"1,911.48","1,912.33","1,883.81",-,-1.36%
27-Jan-11,1911.48 ,"1,894.92","1,911.82","1,886.76",-,0.87%
26-Jan-11,1894.92 ,"1,863.33","1,895.54","1,857.01",-,1.70%
25-Jan-11,1863.33 ,"1,861.46","1,877.17","1,851.69",-,0.09%
24-Jan-11,1861.66 ,"1,884.50","1,889.97","1,848.87",-,-1.23%
21-Jan-11,1884.76 ,"1,868.46","1,890.07","1,857.49",-,0.87%
20-Jan-11,1868.46 ,"1,902.75","1,905.48","1,866.44",-,-1.80%
19-Jan-11,1902.75 ,"1,900.76","1,918.15","1,898.59",-,0.10%
18-Jan-11,1900.94 ,"1,901.61","1,922.15","1,890.16",-,-0.04%
17-Jan-11,1901.61 ,"1,870.09","1,906.83","1,870.09",-,1.69%
14-Jan-11,1870.09 ,"1,879.30","1,884.84","1,860.28",-,-0.43%
13-Jan-11,1878.14 ,"1,868.94","1,887.59","1,865.91",-,0.49%
12-Jan-11,1868.94 ,"1,802.23","1,868.94","1,800.24",-,3.70%
11-Jan-11,1802.23 ,"1,770.27","1,802.23","1,767.80",-,1.68%
31-Dec-10,1772.53 ,"1,770.28","1,772.53","1,770.28",-,0.13%
30-Dec-10,1770.28 ,"1,767.82","1,770.28","1,761.16",-,0.14%
29-Dec-10,1767.82 ,"1,769.41","1,774.26","1,761.60",-,-0.09%
28-Dec-10,1769.41 ,"1,763.75","1,776.17","1,763.37",-,0.28%
27-Dec-10,1764.39 ,"1,769.11","1,770.88","1,760.27",-,-0.29%
24-Dec-10,1769.57 ,"1,765.39","1,771.91","1,765.02",-,0.23%
23-Dec-10,1765.51 ,"1,763.57","1,767.62","1,760.03",-,0.08%
22-Dec-10,1764.04 ,"1,755.79","1,768.26","1,755.22",-,0.47%
21-Dec-10,1755.79 ,"1,739.67","1,756.05","1,738.09",-,0.93%
20-Dec-10,1739.67 ,"1,743.10","1,746.10","1,735.60",-,-0.24%
17-Dec-10,1743.87 ,"1,744.28","1,756.80","1,743.87",-,-0.02%
16-Dec-10,1744.28 ,"1,757.71","1,757.71","1,742.15",-,-0.76%
15-Dec-10,1757.71 ,"1,745.80","1,769.89","1,737.02",-,0.68%
14-Dec-10,1745.80 ,"1,735.50","1,747.08","1,730.73",-,0.59%
13-Dec-10,1735.50 ,"1,712.93","1,739.76","1,712.93",-,1.32%
10-Dec-10,1712.93 ,"1,711.27","1,720.63","1,703.49",-,0.08%
9-Dec-10,1711.56 ,"1,694.30","1,716.18","1,694.01",-,1.02%
8-Dec-10,1694.30 ,"1,721.91","1,722.21","1,694.30",-,-1.60%
7-Dec-10,1721.91 ,"1,711.44","1,735.86","1,708.59",-,0.61%
6-Dec-10,1711.44 ,"1,687.36","1,712.55","1,681.60",-,1.43%
3-Dec-10,1687.36 ,"1,665.38","1,692.52","1,663.43",-,1.30%
2-Dec-10,1665.72 ,"1,633.48","1,667.35","1,632.74",-,1.96%
1-Dec-10,1633.71 ,"1,597.30","1,634.13","1,594.24",-,2.28%
30-Nov-10,1597.35 ,"1,589.31","1,603.53","1,583.47",-,0.51%
29-Nov-10,1589.31 ,"1,602.37","1,617.63","1,586.22",-,-0.82%
26-Nov-10,1602.48 ,"1,618.55","1,619.97","1,588.15",-,-0.99%
25-Nov-10,1618.55 ,"1,600.50","1,619.05","1,597.72",-,1.13%
24-Nov-10,1600.50 ,"1,573.03","1,602.23","1,566.98",-,1.72%
23-Nov-10,1573.46 ,"1,599.86","1,601.54","1,569.19",-,-1.68%
22-Nov-10,1600.30 ,"1,600.98","1,624.78","1,597.25",-,-0.04%
19-Nov-10,1600.98 ,"1,598.63","1,607.90","1,590.59",-,0.15%
18-Nov-10,1598.63 ,"1,570.44","1,598.74","1,562.05",-,1.78%
17-Nov-10,1570.66 ,"1,568.13","1,571.71","1,551.67",-,0.16%
16-Nov-10,1568.13 ,"1,609.43","1,611.71","1,568.04",-,-2.57%
15-Nov-10,1609.43 ,"1,606.08","1,616.10","1,594.16",-,0.21%
13-Nov-10,1606.08 ,"1,610.14","1,612.07","1,598.54",-,-0.30%
12-Nov-10,1610.97 ,"1,629.89","1,634.39","1,601.81",-,-1.13%
11-Nov-10,1629.37 ,"1,637.02","1,656.93","1,629.37",-,-0.47%
10-Nov-10,1637.02 ,"1,659.45","1,659.72","1,632.98",-,-1.35%
9-Nov-10,1659.45 ,"1,629.14","1,663.87","1,626.20",-,1.91%
8-Nov-10,1628.42 ,"1,603.19","1,640.95","1,601.15",-,1.62%
3-Nov-10,1602.53 ,"1,604.00","1,612.95","1,601.68",-,-0.10%
2-Nov-10,1604.14 ,"1,600.36","1,608.84","1,597.49",-,0.24%
1-Nov-10,1600.36 ,"1,586.64","1,609.67","1,585.07",-,0.83%
